id,name,sku,jan_code,weight,shape,material,unit_price,printing_cost,category,status,description,min_stock_alert,prefix,origin,variety,suffix,image_url
833dc64d-dd87-4c15-8b38-85ba663cfc85,別注５Ｋポリ　新潟こしひかりＲ,1124421,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,●◆別注5KﾎﾟﾘDH【新米・コーヨー様】新潟こしひかりRZ,100,,新潟県,こしひかり,（コーヨー）,
3ec4faec-c79b-470d-9545-56b73160ae22,別注５Ｋポリ　栃木県産あさひの夢R,1144084,4.99E+12,5,RＡ,【ポリ】透明,41.5,0,bag,active,別注5KﾎﾟﾘDH【Ｒ】栃木あさひの夢RA,100,,栃木県,あさひの夢,,
ede8c70d-2678-41bf-bfb7-d269611de9b7,別注５Ｋポリ　栃木県産こしひかりR,1174528,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5KﾎﾟﾘDH栃木こしひかりRZ,100,,栃木県,こしひかり,,
708eb8a3-71d9-4a05-a0bc-43c5f65d3f60,別注５ｋポリ　無洗米アメリカ産カルローズ,1223058,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,●【新版】（ロゴ無）5KﾎﾟﾘDH無洗米・アメリカ産カルローズRZ米粒青,100,【無洗米】三重,アメリカ,カルローズ,,
efc4eff0-68ff-44ae-b043-9034d14e72d5,別注５Ｋポリ　青森県つがるロマンＲ,63676,4.99E+12,5,RＺ,【ポリ】透明,42.5,0,bag,active,●◆別注5KﾎﾟﾘDH【楮紙柄】青森つがるロマン（キリン堂様）RZ,100,,青森県,青森つがるロマン,（キリン堂）,
b4761003-2a06-4763-87b9-b4bca52386af,別注５Ｋポリ　青森県産まっしぐらR,81019,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,別注5KﾎﾟﾘDH青森まっしぐらRZ,100,,青森県,まっしぐら,,
4b5ee3a3-ebc4-442b-b458-adab88148914,別注５Ｋポリあきたこまち複数原料米,1221173,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,●◆別注5KﾎﾟﾘDHあきたこまち複数原料米RZ,100,,国内産,あきたこまち,複数原料米,
9d8488ae-738e-4a07-ba80-1156029f0f98,別注５Ｋﾎﾟﾘﾎﾟﾘ宮城ひとめぼれＲ,1202001,4.99E+12,5,RＺ,【ポリポリ】,69,0,bag,active,別注5KﾎﾟﾘﾎﾟﾘDHＴＳ【万代ＰＢ】ＪＡ加美よつば・宮城ひとめぼれRZ,100,,ＪＡ加美よつば宮城県,ひとめぼれ,（万代）,
bfc9e8ac-4e21-4998-bfe9-2fda13b74296,別注５Ｋポリ新米宮崎県産こしひかりＲ,1226391,4.99E+12,5,RＺ,【ポリ】透明,41.5,0,new_rice,active,●◆別注5KﾎﾟﾘDH【新米】宮崎県産こしひかりRZ,100,【新米】,宮崎県,こしひかり,,
5df5470e-9409-4a6c-8d24-278145fa5258,別注５Ｋポリ無洗米おくさま印Ｒ,1132556,4.99E+12,5,RＺ,【ポリ】透明,39,0,bag,active,別注5KﾎﾟﾘDH【無洗米】おくさま印「洗うなんてもういいんだよ」RZ,100,【無洗米】三重,国内産,洗うなんてもういいんだよ,,
042bfeb6-90da-4900-b3dd-d71babe57d49,別注５Ｋポリ無洗米青森県まっしぐらＲ,1256900,4.56E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,【新版】（ロゴ無）別注5KﾎﾟﾘDH無洗米青森県まっしぐら（販売者：銀シャリ）RZ,100,【無洗米】三重,青森県,まっしぐら,（銀シャリ）,
83016bf3-85da-4231-8b75-c35adf8d94a0,別注５Ｋポリ青森県まっしぐらＲ,1259412,4.56E+12,5,RＺ,【ポリ】透明,41.5,0,bag,active,【新版】（ロゴ無）別注5KﾎﾟﾘDH青森県まっしぐら（販売者：銀シャリ）RZ,100,,青森県,まっしぐら,（銀シャリ）,
6c191c94-a836-48a8-8aa6-a77f8ddcf363,別注５Ｋマットポリ　三重県産こしひかりＲ,1039988,4.99E+12,5,RＺ,【ポリ】透明,42,0,bag,active,●◆別注5K MﾎﾟﾘDH【通常】三重こしひかりRZ,100,,三重県,こしひかり,,
4103e66a-f203-46bc-a357-eb89166b2c07,別注５Ｋマットポリ　新潟こしいぶきRZ,77656,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5K MﾎﾟﾘDH新潟こしいぶきRZ,100,,新潟県,こしいぶき,,
f5c49641-56ec-40e9-af02-2a6859c6fc00,別注５Ｋﾏｯﾄﾎﾟﾘﾎﾟﾘ兵庫丹波こしひかりR,1145760,4.99E+12,5,RＺ,【マットポリポリ】,71.5,0,bag,active,●◆別注5K MﾎﾟﾘﾎﾟﾘDH兵庫丹波こしひかりRZ,100,,兵庫県丹波,こしひかり,,
e5af3f87-ee2f-4194-9da3-2ce5a5a316b5,別注５Ｋﾏｯﾄﾎﾟﾘ無洗米三重県産こしＲ,1214304,4.99E+12,5,RＺ,【ポリ】透明,42,0,bag,active,●◆別注5K MﾎﾟﾘDH【無洗米】三重こしひかりRZ (JA鈴鹿指定）,100,【無洗米】三重,JA鈴鹿三重県,こしひかり,,
ab8997a5-4fcf-486e-80e4-54197009fadb,別注５Ｋﾏｯﾄﾎﾟﾘ無洗米滋賀県こしひかりＲ,1114868,4.99E+12,5,RＺ,【ポリ】透明,46.5,0,bag,active,別注5K MﾎﾟﾘDH【無洗米】滋賀こしひかりRZ,100,【無洗米】,滋賀県,こしひかり,,
6e6ba0ee-1d3b-4fdc-8eba-3bf2b9f54f9c,別注５Ｋマットポリ近江の米こしひかりＲ,1121699,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5K MﾎﾟﾘDH【新米】近江の米・滋賀こしひかり（マンダイ様）RZ,100,,滋賀県,こしひかり,（万代）,
f95b66b9-e236-41f6-8bd7-53250f9c6100,別注５Ｋマットポリ近江の米こしひかりRZ,75432,4.99E+12,5,RＺ,【ポリ】透明,44,0,bag,active,別注5K MﾎﾟﾘDH【通常】近江の米・滋賀こしひかり（マンダイ様）RZ,100,,滋賀県,こしひかり,（万代）,
8038c0f7-e755-4340-b336-ea4b7e89e5b4,別注シール【家紋】５Ｋ無洗米・新潟県魚沼こしひかり（一括表示あり）,1022510,なし,5,単袋,【シール】上質,58.5,0,sticker,active,別注シール【家紋】５Ｋ無洗米・新潟県魚沼こしひかり（一括表示あり）,100,,新潟県,こしひかり,（一括表示あり）,
b2629048-b788-4e55-951a-b7b408a2242d,別注のぼり（大）おくさま印,1200722,なし,,その他,,1200,0,other,inactive,△別注のぼり大　おくさま印（ポリエステル・防炎加工なし・左耳仕様）,100,,,,,
8036afdf-3dc4-483e-b94c-c22ba75d7189,北海道ななつぼし（米匠庵）,1246748,4.99E+12,3,RＺ,【ＳＦマットポリ】,73,0,bag,active,●【新版】3K SFMﾎﾟﾘDH北海道ななつぼし（米匠庵）RZＳＰ雲竜柄無地,100,,北海道,ななつぼし,（米匠庵）,
fccd962e-6d3d-49df-84fa-03f35ec4ef32,北海道ゆめぴりか,1241993,4.99E+12,1,RＺ,【真空ラミ】,88.5,0,bag,active,●別注1K真空ラミ北海道ゆめぴりか（海外輸出用）RZ,100,,北海道,ゆめぴりか,（海外輸出用）,
05abc501-6ea2-452a-807c-cd3f6a3e8959,北海道産ななつぼし,1118986,4.99E+12,2,RＺ,【ＳＦポリ】,54.5,0,bag,active,別注2K SFﾎﾟﾘDH北海道ななつぼしRZ,100,,北海道,ななつぼし,,
499720f0-d2d3-4b9c-905a-f031359693c8,国内産こしひかりRZＳＰ,1007250,4.99E+12,8,RＺ,【マットポリポリ】,95,0,bag,active,●◆8K MﾎﾟﾘﾎﾟﾘDH国内産こしひかりRZＳＰ和紙調無地,100,,国内産,こしひかり,ＳＰ,
8735a126-d901-4a34-84e1-889b01fdb2f0,国内産ブレンド（ロピア用）,1226861,4.56E+12,10,RＺ,【ポリ】透明,43.5,0,bag,active,●（ロゴ無）別注10KﾎﾟﾘDH国内産【ブレンド】（ロピア用）RZ,100,,国内産,ブレンド,（ロピア）,
